declaration_id,state,governor,eo_number,action_type,event_description,date_signed,end_date,weather_related,document_format,archive_record_url
MA-EO-365,MA,William Weld,365,administrative,Massachusetts National and Community Service Commission,1994-02-09,2006-05-04,False,html,https://archives.lib.state.ma.us/entities/journalfile/83b60def-b6ed-4891-9db8-a07c7f973535
MA-EO-364,MA,William Weld,364,administrative,Designating the MASSJOBS Council as the Commonwealth's Human Resource Investment Council,1993-12-14,,False,html,https://archives.lib.state.ma.us/entities/journalfile/7a9473d2-84d6-4488-907d-8d59073b881f
MA-EO-363,MA,William Weld,363,administrative,Establishing a Governor's Advisory Council on Veterans' Affairs,1993-10-26,2007-04-17,False,html,https://archives.lib.state.ma.us/entities/journalfile/392184ec-3f93-43d8-964f-fc629e1ca601
MA-EO-362,MA,William Weld,362,administrative,African-American Advisory Commission,1993-10-20,2017-02-23,False,html,https://archives.lib.state.ma.us/entities/journalfile/28d72a0c-c141-435f-ad3a-f770790929b6
MA-EO-361,MA,William Weld,361,administrative,Executive Order (new series) No. 361,1993-10-18,,False,html,https://archives.lib.state.ma.us/entities/journalfile/6eb42f91-fb29-4669-bd66-4dfc6281b2af
MA-EO-360,MA,William Weld,360,administrative,Establishing a Clean Water Act Advisory Task Force,1993-09-30,,False,html,https://archives.lib.state.ma.us/entities/journalfile/73acce50-b5f6-4f68-84ac-2743b6925ea7
MA-EO-359,MA,William Weld,359,administrative,Encouraging a Healthy Economy in a Multi-racial Democracy in South Africa,1993-09-24,,False,html,https://archives.lib.state.ma.us/entities/journalfile/3ea8d27f-4d9c-4f58-90c9-3f9e4feb7a6f
MA-EO-358,MA,William Weld,358,administrative,Establishing a Blue Ribbon Commission to Study and Oversee the Renovation and Restoration of the State House,1993-08-18,,False,html,https://archives.lib.state.ma.us/entities/journalfile/01460492-c16f-431e-ab38-9a5f38eb1d09
MA-EO-357,MA,William Weld,357,administrative,"Reestablishing a Commission to Advise the Governor Relative to Further Measures to Prevent, Respond Effectively to and Protect the Victims of Domestic Violence in the Commonwealth",1993-07-08,,False,html,https://archives.lib.state.ma.us/entities/journalfile/736545eb-39b7-4a81-8dfa-3c46d4143ac9
MA-EO-356,MA,William Weld,356,administrative,Governor's Commission on Mental Retardation,1993-05-25,,False,html,https://archives.lib.state.ma.us/entities/journalfile/259c776d-34ff-41ce-8ce1-0a74387d1297
MA-EO-355,MA,William Weld,355,administrative,Judicial Nominating Council,1993-05-24,,False,html,https://archives.lib.state.ma.us/entities/journalfile/c29830cd-dd63-4b02-8e46-16a77cb04081
MA-EO-354,MA,William Weld,354,administrative,Commonwealth of Massachusetts Employees Campaign (COMEC),1993-05-10,,False,html,https://archives.lib.state.ma.us/entities/journalfile/f6807320-55e3-4dc4-9cfc-d7fff7dad6db
MA-EO-353,MA,William Weld,353,administrative,Hispanic-American Advisory Commission,1993-04-08,,False,html,https://archives.lib.state.ma.us/entities/journalfile/ea1ec452-5757-4048-a37e-9fb5be08cea1
MA-EO-352,MA,William Weld,352,administrative,Establishing an Inter-agency Disability Services Coordinating Council,1993-02-05,,False,html,https://archives.lib.state.ma.us/entities/journalfile/0117241a-aa3f-49fd-92ed-d2d299c3dcad
MA-EO-351,MA,William Weld,351,administrative,Establishing the Governor's Special Advisory Commission on Disability Policy,1993-02-05,,False,html,https://archives.lib.state.ma.us/entities/journalfile/d23e8b99-697f-459b-8f2a-71d663a2b58c
